127.0.0.1 - - [15/May/2023:10:05:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/index.jsp HTTP/1.1" 200 34987
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/css/JiSlider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/css/services.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/css/ziehharmonika.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/JiSlider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/ziehharmonika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/g2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/g4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/g7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/g5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/g3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/js/jquery.flexslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/g9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/slid1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/slid3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:05:38 +0530] "GET /khajinadoc/images/slid2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:13:31 +0530] "GET /khajinadoc/Patient_Login.jsp HTTP/1.1" 200 16318
0:0:0:0:0:0:0:1 - - [15/May/2023:10:13:37 +0530] "GET /khajinadoc/Patient-forgetpassword.jsp HTTP/1.1" 200 15722
0:0:0:0:0:0:0:1 - - [15/May/2023:10:14:19 +0530] "GET /khajinadoc/Doctor_Login.jsp HTTP/1.1" 200 16134
0:0:0:0:0:0:0:1 - - [15/May/2023:10:14:40 +0530] "GET /khajinadoc/Patient_Login.jsp HTTP/1.1" 200 16318
0:0:0:0:0:0:0:1 - - [15/May/2023:10:14:54 +0530] "POST /khajinadoc/PatientController HTTP/1.1" 200 35149
0:0:0:0:0:0:0:1 - - [15/May/2023:10:15:13 +0530] "GET /khajinadoc/Patient_profile.jsp HTTP/1.1" 200 16291
0:0:0:0:0:0:0:1 - - [15/May/2023:10:15:37 +0530] "GET /khajinadoc/Patient_changepassword.jsp HTTP/1.1" 200 16583
0:0:0:0:0:0:0:1 - - [15/May/2023:10:17:27 +0530] "GET /khajinadoc/Doctor_Login.jsp HTTP/1.1" 200 16134
0:0:0:0:0:0:0:1 - - [15/May/2023:10:17:39 +0530] "POST /khajinadoc/DoctorController HTTP/1.1" 200 16156
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:22 +0530] "POST /khajinadoc/DoctorController HTTP/1.1" 200 34613
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:44 +0530] "GET /khajinadoc/Doctor_changepassword.jsp HTTP/1.1" 200 15850
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:45 +0530] "GET /khajinadoc/Patient_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:45 +0530] "GET /khajinadoc/index.jsp HTTP/1.1" 200 34987
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin-Login.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/css/bootstrap.min.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/css/style-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/css/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/js/jquery.dcjqaccordion.2.7.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/js/jquery2.0.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/js/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/js/jquery.scrollTo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:36:48 +0530] "GET /khajinadoc/admin/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:37:03 +0530] "POST /khajinadoc/AdminController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:37:20 +0530] "POST /khajinadoc/AdminController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:38:59 +0530] "GET /khajinadoc/Doctor_Registration.jsp HTTP/1.1" 200 17023
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:13 +0530] "GET /khajinadoc/appointment.jsp HTTP/1.1" 200 12870
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:13 +0530] "GET /khajinadoc/css/wickedpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:13 +0530] "GET /khajinadoc/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:13 +0530] "GET /khajinadoc/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:13 +0530] "GET /khajinadoc/js/wickedpicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:20 +0530] "GET /khajinadoc/fonts/fontello.woff?52602240 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:42 +0530] "GET /khajinadoc/appointment.jsp HTTP/1.1" 200 12870
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:44 +0530] "GET /khajinadoc/about.jsp HTTP/1.1" 200 26949
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:44 +0530] "GET /khajinadoc/css/team.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:44 +0530] "GET /khajinadoc/js/jquery.swipebox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:44 +0530] "GET /khajinadoc/js/cbpFWTabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:44 +0530] "GET /khajinadoc/images/t4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:44 +0530] "GET /khajinadoc/images/t2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:44 +0530] "GET /khajinadoc/images/t3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:10:39:44 +0530] "GET /khajinadoc/images/t1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:31:11 +0530] "GET /khajinadoc/css/bootstrap.css.map HTTP/1.1" 404 791
