0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:28 +0530] "GET /khajinadoc/images/t3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:28 +0530] "GET /khajinadoc/images/t1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:35 +0530] "GET /khajinadoc/Doctor_Registration.jsp HTTP/1.1" 200 17023
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:49 +0530] "GET /khajinadoc/Patient_Login.jsp HTTP/1.1" 200 16318
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:54:04 +0530] "POST /khajinadoc/PatientController HTTP/1.1" 200 16318
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:54:46 +0530] "POST /khajinadoc/PatientController HTTP/1.1" 200 35149
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:54:54 +0530] "GET /khajinadoc/Department-home.jsp HTTP/1.1" 200 25060
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:54:55 +0530] "GET /khajinadoc/Department-home.jsp HTTP/1.1" 200 25060
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:54:57 +0530] "GET /khajinadoc/Department-home.jsp HTTP/1.1" 200 25060
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:54:57 +0530] "GET /khajinadoc/Department-home.jsp HTTP/1.1" 200 25060
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:54:57 +0530] "GET /khajinadoc/Department-home.jsp HTTP/1.1" 200 25060
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:01 +0530] "GET /khajinadoc/Department-home.jsp HTTP/1.1" 200 25060
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:03 +0530] "GET /khajinadoc/contact.jsp HTTP/1.1" 200 12951
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:10 +0530] "GET /khajinadoc/Doctor_Login.jsp HTTP/1.1" 200 16134
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:39 +0530] "POST /khajinadoc/DoctorController HTTP/1.1" 200 16156
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:41 +0530] "GET /khajinadoc/appointment.jsp HTTP/1.1" 200 12870
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:41 +0530] "GET /khajinadoc/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:41 +0530] "GET /khajinadoc/css/wickedpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:41 +0530] "GET /khajinadoc/js/wickedpicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:55:41 +0530] "GET /khajinadoc/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:56:13 +0530] "GET /khajinadoc/Doctor_Login.jsp HTTP/1.1" 200 16134
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:56:24 +0530] "POST /khajinadoc/DoctorController HTTP/1.1" 200 16156
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:57:17 +0530] "POST /khajinadoc/DoctorController HTTP/1.1" 200 16156
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:57:24 +0530] "GET /khajinadoc/Doctor-forgetpassword.jsp HTTP/1.1" 200 15706
